130,Olive Drab,x11,"{107,142,35}","{0.221184,0.753521,0.556863}","{54.6508,-28.2235,49.6912}",44.5446,46,f
172,Yellow Green,x11,"{154,205,50}","{0.221505,0.756098,0.803922}","{76.5352,-37.9902,66.5863}",64.4998,47,f
57,Dark Olive Green,x11,"{85,107,47}","{0.227778,0.560748,0.419608}","{42.234,-18.8283,30.5967}",24.7835,48,f
83,Green Yellow,x11,"{173,255,47}","{0.232372,0.815686,1}","{91.9576,-52.4838,81.8661}",85.5466,49,f
43,Chartreuse,x11,"{127,255,0}","{0.250327,1,1}","{89.8742,-68.0691,85.7824}",104.104,50,f
92,Lawn Green,x11,"{124,252,0}","{0.251323,1,0.988235}","{88.878,-67.859,84.9548}",102.883,51,f
62,Dark Sea Green,x11,"{143,188,143}","{0.333333,0.239362,0.737255}","{72.0874,-23.8179,18.0323}",21.2132,52,f
135,Pale Green,x11,"{152,251,152}","{0.333333,0.394422,0.984314}","{90.7511,-48.2965,38.5234}",46.669,53,f
99,Light Green,x11,"{144,238,144}","{0.333333,0.394958,0.933333}","{86.5496,-46.3276,36.9449}",44.312,54,f
73,Forest Green,x11,"{34,139,34}","{0.333333,0.755396,0.545098}","{50.5944,-49.5866,45.0157}",49.4975,55,f
108,Lime Green,x11,"{50,205,50}","{0.333333,0.756098,0.803922}","{72.6085,-67.127,61.4373}",73.0677,56,f
54,Dark Green,x11,"{0,100,0}","{0.333333,1,0.392157}","{36.2034,-43.3699,41.8586}",47.1405,57,f
81,Green (X11),x11,"{0,255,0}","{0.333333,1,1}","{87.737,-86.1846,83.1812}",120.208,58,f
82,Green (W3C),x11,"{0,128,0}","{0.333333,1,0.501961}","{46.2288,-51.6991,49.8975}",60.3398,59,f
107,Lime (W3C),x11,"{0,255,0}","{0.333333,1,1}","{87.737,-86.1846,83.1812}",120.208,60,f
152,Sea Green,x11,"{46,139,87}","{0.40681,0.669065,0.545098}","{51.5354,-39.7145,20.0496}",38.0555,61,f
117,Medium Sea Green,x11,"{60,179,113}","{0.407563,0.664804,0.701961}","{65.2734,-48.2169,24.2869}",48.6781,62,f
160,Spring Green,x11,"{0,255,127}","{0.41634,1,1}","{88.4727,-76.9009,47.0253}",104.104,63,f
119,Medium Spring Green,x11,"{0,250,154}","{0.436,1,0.980392}","{87.3411,-70.6844,32.4591}",102.974,64,f
113,Medium Aquamarine,x11,"{102,205,170}","{0.443366,0.502439,0.803922}","{75.6931,-38.3325,8.3025}",42.7629,65,f
32,Aquamarine,x11,"{127,255,212}","{0.44401,0.501961,1}","{92.0362,-45.5207,9.7117}",53.1852,66,f
166,Turquoise,x11,"{64,224,208}","{0.483333,0.714286,0.878431}","{81.2671,-44.0763,-4.0344}",71.9506,67,f
102,Light Sea Green,x11,"{32,178,170}","{0.490868,0.820225,0.698039}","{65.7877,-37.5083,-6.3362}",67.0191,68,f
120,Medium Turquoise,x11,"{72,209,204}","{0.493917,0.655502,0.819608}","{76.8835,-37.3546,-8.361}",63.4368,69,f
96,Light Cyan,x11,"{224,255,255}","{0.5,0.121569,1}","{97.8682,-9.9392,-3.3847}",14.6135,70,f
136,Pale Turquoise,x11,"{175,238,238}","{0.5,0.264706,0.933333}","{90.0614,-19.6333,-6.4084}",29.6985,71,f
64,Dark Slate Gray,x11,"{47,79,79}","{0.5,0.405063,0.309804}","{31.256,-11.7167,-3.7274}",15.0849,72,f
31,Aqua,x11,"{0,255,255}","{0.5,1,1}","{91.1165,-48.0796,-14.1381}",120.208,73,f
49,Cyan,x11,"{0,255,255}","{0.5,1,1}","{91.1165,-48.0796,-14.1381}",120.208,74,f
51,Dark Cyan,x11,"{0,139,139}","{0.5,1,0.545098}","{52.2075,-30.6152,-9.0026}",65.5252,75,f
163,Teal,x11,"{0,128,128}","{0.5,1,0.501961}","{48.2561,-28.8415,-8.481}",60.3398,76,f
65,Dark Turquoise,x11,"{0,206,209}","{0.502392,1,0.819608}","{75.2931,-40.0365,-13.5193}",97.8241,77,f
42,Cadet Blue,x11,"{95,158,160}","{0.505128,0.40625,0.627451}","{61.1546,-19.6754,-7.4267}",30.1809,78,f
143,Powder Blue,x11,"{176,224,230}","{0.518519,0.234783,0.901961}","{86.1336,-14.0877,-8.0161}",24.1661,79,f
94,Light Blue,x11,"{173,216,230}","{0.540936,0.247826,0.901961}","{83.8141,-10.8861,-11.4854}",24.2533,80,f
68,Deep Sky Blue,x11,"{0,191,255}","{0.54183,1,1}","{72.5492,-17.648,-42.5483}",108.322,81,f
156,Sky Blue,x11,"{135,206,235}","{0.548333,0.425532,0.921569}","{79.209,-14.8322,-21.2846}",42.0079,82,f
103,Light Sky Blue,x11,"{135,206,250}","{0.563768,0.46,0.980392}","{79.725,-10.8233,-28.5104}",47.3779,83,f
161,Steel Blue,x11,"{70,130,180}","{0.575758,0.611111,0.705882}","{52.4674,-4.0702,-32.1982}",44.9691,84,f
70,Dodger Blue,x11,"{30,144,255}","{0.582222,0.882353,1}","{59.3817,9.9698,-63.395}",91.8586,85,f
104,Light Slate Gray,x11,"{119,136,153}","{0.583333,0.222222,0.6}","{55.9174,-2.2433,-11.1146}",13.8804,86,f
